medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-10,Nikola OGRODNIKOVA,CZE,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1892137
Gold Medal,1,2024-08-10,United States,USA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---USA01
Silver Medal,2,2024-08-10,France,FRA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---FRA01
Bronze Medal,3,2024-08-10,Serbia,SRB,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000200--,BKBMTEAM5---SRB01
Gold Medal,1,2024-08-10,AHMAN/HELLVIG,SWE,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---SWE01
Silver Medal,2,2024-08-10,EHLERS/WICKLER,GER,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---GER01
Bronze Medal,3,2024-08-10,MOL/SORUM,NOR,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000200--,VBVMTEAM2---NOR01
Gold Medal,1,2024-08-10,Bakhodir JALOLOV,UZB,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1556869
Silver Medal,2,2024-08-10,Ayoub GHADFA DRISSI EL AISSAOUI,ESP,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1934775
Gold Medal,1,2024-08-10,Abdumalik KHALOKOV,UZB,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,1556049
Silver Medal,2,2024-08-10,Munarbek SEIITBEK UULU,KGZ,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,1878687
Gold Medal,1,2024-08-10,LIN Yu Ting,TPE,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,1887963
Silver Medal,2,2024-08-10,Julia SZEREMETA,POL,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,1568655
Gold Medal,1,2024-08-10,LI Qian,CHN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1926826
Silver Medal,2,2024-08-10,Atheyna Bibeichi BYLON,PAN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1965679
Gold Medal,1,2024-08-10,PHIL WIZARD,CAN,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1958888
Silver Medal,2,2024-08-10,DANY DANN,FRA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1880191
Bronze Medal,3,2024-08-10,VICTOR,USA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000200--,1955590
Gold Medal,1,2024-08-10,Josef DOSTAL,CZE,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1878715
Silver Medal,2,2024-08-10,Adam VARGA,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1570863
Bronze Medal,3,2024-08-10,Balint KOPASZ,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1569972
Gold Medal,1,2024-08-10,Katie VINCENT,CAN,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1964547
Silver Medal,2,2024-08-10,Nevin HARRISON,USA,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1955126
Bronze Medal,3,2024-08-10,Yarisleidis CIRILO DUBOYS,CUB,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1564506
Gold Medal,1,2024-08-10,Lisa CARRINGTON,NZL,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1945383
Silver Medal,2,2024-08-10,Tamara CSIPES,HUN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1568350
Bronze Medal,3,2024-08-10,Emma Aastrand JORGENSEN,DEN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1892423
Gold Medal,1,2024-08-10,Portugal,POR,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-POR01
Silver Medal,2,2024-08-10,Italy,ITA,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-ITA01
Bronze Medal,3,2024-08-10,Denmark,DEN,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-DEN01
Gold Medal,1,2024-08-10,CAO Yuan,CHN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1901556
Silver Medal,2,2024-08-10,TAMAI Rikuto,JPN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1891685
Bronze Medal,3,2024-08-10,Noah WILLIAMS,GBR,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1900857
Gold Medal,1,2024-08-10,United States,USA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--,FBLWTEAM11--USA01
Silver Medal,2,2024-08-10,Brazil,BRA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--,FBLWTEAM11--BRA01
Gold Medal,1,2024-08-10,Lydia KO,NZL,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1939553
Silver Medal,2,2024-08-10,Esther HENSELEIT,GER,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1892506
Bronze Medal,3,2024-08-10,LIN Xiyu Janet,CHN,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1913218
Gold Medal,1,2024-08-10,Norway,NOR,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--,HBLWTEAM7---NOR01
Silver Medal,2,2024-08-10,France,FRA,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--,HBLWTEAM7---FRA01
Bronze Medal,3,2024-08-10,Denmark,DEN,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000200--,HBLWTEAM7---DEN01
Gold Medal,1,2024-08-10,Ahmed ELGENDY,EGY,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1932649
Silver Medal,2,2024-08-10,SATO Taishu,JPN,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1887939
Bronze Medal,3,2024-08-10,Giorgio MALAN,ITA,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1553031
Gold Medal,1,2024-08-10,Janja GARNBRET,SLO,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1981131
Silver Medal,2,2024-08-10,Brooke RABOUTOU,USA,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1950307
Bronze Medal,3,2024-08-10,Jessica PILZ,AUT,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1560673
Gold Medal,1,2024-08-10,China,CHN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,TTEWTEAM----CHN01
Silver Medal,2,2024-08-10,Japan,JPN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,TTEWTEAM----JPN01
Bronze Medal,3,2024-08-10,Korea,KOR,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00020000,TTEWTEAM----KOR01
Gold Medal,1,2024-08-10,Arian SALIMI,IRI,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,1536045
Silver Medal,2,2024-08-10,Caden CUNNINGHAM,GBR,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,1896149
Bronze Medal,3,2024-08-10,Rafael ALBA,CUB,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--,1897088
Bronze Medal,3,2024-08-10,Cheick Sallah CISSE,CIV,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--,1548401
Gold Medal,1,2024-08-10,Althea LAURIN,FRA,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1893272
Silver Medal,2,2024-08-10,Svetlana OSIPOVA,UZB,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1887768
Bronze Medal,3,2024-08-10,LEE Dabin,KOR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--,1904039
Bronze Medal,3,2024-08-10,Nafia KUS AYDIN,TUR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--,1566738
Gold Medal,1,2024-08-10,France,FRA,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---FRA01
Silver Medal,2,2024-08-10,Poland,POL,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---POL01
Bronze Medal,3,2024-08-10,Brazil,BRA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000200--,VVOWTEAM6---BRA01
Gold Medal,1,2024-08-10,Spain,ESP,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---ESP01
Silver Medal,2,2024-08-10,Australia,AUS,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---AUS01
Bronze Medal,3,2024-08-10,Netherlands,NED,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000200--,WPOWTEAM7---NED01
Gold Medal,1,2024-08-10,Lasha TALAKHADZE,GEO,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1551443
Silver Medal,2,2024-08-10,Varazdat LALAYAN,ARM,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1544424
Bronze Medal,3,2024-08-10,Gor MINASYAN,BRN,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1540334
Gold Medal,1,2024-08-10,LIU Huanhua,CHN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1918369
Silver Medal,2,2024-08-10,Akbar DJURAEV,UZB,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1551307
Bronze Medal,3,2024-08-10,Yauheni TSIKHANTSOU,AIN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1569832
Gold Medal,1,2024-08-10,Solfrid Eila Amena KOANDA,NOR,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1878625
Silver Medal,2,2024-08-10,Sara AHMED,EGY,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1563010
Bronze Medal,3,2024-08-10,Neisi Patricia DAJOMES BARRERA,ECU,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1940308
Gold Medal,1,2024-08-10,Geno PETRIASHVILI,GEO,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1554885
Silver Medal,2,2024-08-10,Amir Hossein ZARE,IRI,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1543088
Bronze Medal,3,2024-08-10,Taha AKGUL,TUR,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000100--,1570546
Bronze Medal,3,2024-08-10,Giorgi MESHVILDISHVILI,AZE,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--,1947172
Gold Medal,1,2024-08-10,Razambek Salambekovitch JAMALOV,UZB,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1562164
Silver Medal,2,2024-08-10,TAKATANI Daichi,JPN,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1939708
Bronze Medal,3,2024-08-10,Kyle Douglas DAKE,USA,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000100--,1955345
Bronze Medal,3,2024-08-10,Chermen VALIEV,ALB,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000200--,3429662
Gold Medal,1,2024-08-10,MOTOKI Sakura,JPN,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,1939702
Silver Medal,2,2024-08-10,Iryna KOLIADENKO,UKR,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,1897022
Bronze Medal,3,2024-08-10,Aisuluu TYNYBEKOVA,KGZ,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--,1902786
Bronze Medal,3,2024-08-10,Grace Jacob BULLEN,NOR,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--,1878635
Gold Medal,1,2024-08-11,Sifan HASSAN,NED,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1972105
Silver Medal,2,2024-08-11,Tigst ASSEFA,ETH,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1901487
Bronze Medal,3,2024-08-11,Hellen OBIRI,KEN,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1932851
Gold Medal,1,2024-08-11,United States,USA,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--,BKBWTEAM5---USA01
Silver Medal,2,2024-08-11,France,FRA,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--,BKBWTEAM5---FRA01
Bronze Medal,3,2024-08-11,Australia,AUS,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000200--,BKBWTEAM5---AUS01
Gold Medal,1,2024-08-11,Harrie LAVREYSEN,NED,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1969182
Silver Medal,2,2024-08-11,Matthew RICHARDSON,AUS,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1940263
Bronze Medal,3,2024-08-11,Matthew GLAETZER,AUS,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1940262
Gold Medal,1,2024-08-11,Jennifer VALENTE,USA,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1955106
Silver Medal,2,2024-08-11,Daria PIKULIK,POL,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1572953
Bronze Medal,3,2024-08-11,Ally WOLLASTON,NZL,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1945080
Gold Medal,1,2024-08-11,Ellesse ANDREWS,NZL,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1945040
Silver Medal,2,2024-08-11,Lea FRIEDRICH,GER,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1889704
Bronze Medal,3,2024-08-11,Emma FINUCANE,GBR,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1912522
Gold Medal,1,2024-08-11,Denmark,DEN,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--,HBLMTEAM7---DEN01
Silver Medal,2,2024-08-11,Germany,GER,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--,HBLMTEAM7---GER01
Bronze Medal,3,2024-08-11,Spain,ESP,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000200--,HBLMTEAM7---ESP01
Gold Medal,1,2024-08-11,Michelle GULYAS,HUN,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1936619
Silver Medal,2,2024-08-11,Elodie CLOUVEL,FRA,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1545116
Bronze Medal,3,2024-08-11,SEONG Seungmin,KOR,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1786902
Gold Medal,1,2024-08-11,Italy,ITA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--,VVOWTEAM6---ITA01
Silver Medal,2,2024-08-11,United States,USA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--,VVOWTEAM6---USA01
Gold Medal,1,2024-08-11,Serbia,SRB,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--,WPOMTEAM7---SRB01
Silver Medal,2,2024-08-11,Croatia,CRO,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--,WPOMTEAM7---CRO01
Bronze Medal,3,2024-08-11,United States,USA,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000200--,WPOMTEAM7---USA01
Gold Medal,1,2024-08-11,LI Wenwen,CHN,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1918376
Silver Medal,2,2024-08-11,PARK Hyejeong,KOR,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1894414
Bronze Medal,3,2024-08-11,Emily CAMPBELL,GBR,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1544179
Gold Medal,1,2024-08-11,KIYOOKA Kotaro,JPN,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,1939700
Silver Medal,2,2024-08-11,Rahman AMOUZADKHALILI,IRI,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,1544830
Bronze Medal,3,2024-08-11,Sebastian C RIVERA,PUR,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--,1537188
Bronze Medal,3,2024-08-11,Islam DUDAEV,ALB,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000200--,1559387
Gold Medal,1,2024-08-11,Akhmed TAZHUDINOV,BRN,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,1540305
Silver Medal,2,2024-08-11,Givi MATCHARASHVILI,GEO,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,1552495
Bronze Medal,3,2024-08-11,Magomedkhan MAGOMEDOV,AZE,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--,1981785
Bronze Medal,3,2024-08-11,Amirali AZARPIRA,IRI,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--,1543095
Gold Medal,1,2024-08-11,KAGAMI Yuka,JPN,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,1939701
Silver Medal,2,2024-08-11,Kennedy Alexis BLADES,USA,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,1955344
Bronze Medal,3,2024-08-11,Milaimy de la Carid. MARIN POTRILLE,CUB,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--,1571936
Bronze Medal,3,2024-08-11,Tatiana RENTERIA RENTERIA,COL,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--,1535513
